method,k,revenue,competitive_ratio,accepted,avg_usage,min_remaining,solve_time_sec,decision_time_sec
Offline LP,,11073.06971067278,1.0,2241,1.0,0.0,0.3713485000189394,0.0
One-time,50,8679.886952033157,0.7838735941188057,1743,0.8185,0.0,0.002938899997388944,0.06208189998869784
One-time,100,9382.289012258629,0.847306957998784,1889,0.8564,0.0,0.0033258000039495528,0.053360800025984645
One-time,200,9699.221599413031,0.8759288844776651,1972,0.8838000000000001,0.0,0.004227199999149889,0.05049749999307096
One-time,400,10230.399454887938,0.9238991284437924,2095,0.9298,0.0,0.006151400011731312,0.0475925000209827
One-time,800,9716.40799328953,0.877480973855368,2004,0.8851000000000001,0.0,0.010365499998442829,0.047254900011466816
One-time,1600,9509.161149123498,0.8587646784123549,1930,0.8633000000000001,10.0,0.018953000020701438,0.041020499978912994
One-time,3200,7071.6730070348385,0.6386370890647247,1445,0.6363,314.0,0.04623149998951703,0.029499900003429502
One-time,6400,3843.083866315219,0.3470658062064815,787,0.34509999999999996,629.0,0.12766259998898022,0.016633599996566772
Dynamic,,10705.489790945809,0.9668041537413352,2177,0.9664999999999999,0.0,0.21186630002921447,0.06417440000222996
