method,k,revenue,competitive_ratio,accepted,avg_usage,min_remaining,solve_time_sec,decision_time_sec
Offline LP,,11080.755079869394,1.0,2236,1.0,0.0,0.14691900000616442,0.0
One-time,50,7829.548184103614,0.7065897700715085,1608,0.7303000000000001,0.0,0.0019354999967617914,0.020862799996393733
One-time,100,9929.32929714508,0.8960877869400677,1994,0.8989,0.0,0.0019036000012420118,0.01932880000094883
One-time,200,9911.7495793556,0.8945012779284738,2009,0.8960999999999999,0.0,0.0024738999927649274,0.017726100006257184
One-time,400,10165.824538769775,0.9174306683520341,2044,0.9085000000000001,0.0,0.0035370999976294115,0.01746149999962654
One-time,800,10092.418300042811,0.9108060080109421,2048,0.9122,0.0,0.006142400001408532,0.016896300003281794
One-time,1600,9738.666379890836,0.8788811150228603,1951,0.8802,48.0,0.012341900001047179,0.014990700001362711
One-time,3200,7998.546032181974,0.7218412440784903,1580,0.7165999999999999,203.0,0.027481099998112768,0.011891000001924112
One-time,6400,4242.165047301289,0.3828407916900993,833,0.38180000000000003,584.0,0.07669600000372157,0.00615599998855032
Dynamic,,10781.64286397519,0.9730061522217375,2181,0.9733,0.0,0.1300735000113491,0.01707899999746587
